ID,Element_Id,Name,Machine_Id,Feature_Name,Stack_Turn_Id,All_Stack_Turn_Id,Weight,Interpose_Random_Length_ID
1,10101,水牛,10001,,,,3|2|3|4|5,
2,10102,老鹰,10001,,,,3|3|5|5|4,
3,10103,老虎,10001,,,,4|3|4|5|5,
4,10104,狼,10001,,,,5|5|3|6|4,
5,10105,鹿,10001,,,,5|5|6|6|5,
6,10106,A,10001,,,,6|6|5|5|5,
7,10107,K,10001,,,,5|4|5|4|5,
8,10108,Q,10001,,,,6|5|8|5|5,
9,10109,J,10001,,,,6|5|8|5|5,
10,10110,10,10001,,,,5|6|5|8|5,
11,10110,9,10001,,,,5|6|5|8|6,
12,19901,Wild,10001,,,,0|3|2|3|3,
13,19801,Scatter,10001,,,,4|4|4|4|4,
14,10101,水牛,10001,FreeSpin,,,3|2|3|4|5,
15,10102,老鹰,10001,FreeSpin,,,3|3|5|5|4,
16,10103,老虎,10001,FreeSpin,,,4|3|4|5|5,
17,10104,狼,10001,FreeSpin,,,5|5|3|6|4,
18,10105,鹿,10001,FreeSpin,,,5|5|6|6|5,
19,10106,A,10001,FreeSpin,,,6|6|5|5|5,
20,10107,K,10001,FreeSpin,,,5|4|5|4|5,
21,10108,Q,10001,FreeSpin,,,6|5|8|5|5,
22,10109,J,10001,FreeSpin,,,6|5|8|5|5,
23,10110,10,10001,FreeSpin,,,5|6|5|8|5,
24,10110,9,10001,FreeSpin,,,5|6|5|8|6,
25,19901,Wild,10001,FreeSpin,,,0|4|4|4|4,
26,19801,Scatter,10001,FreeSpin,,,4|4|4|4|4,
